Amyda cartilaginea
Batagur trivittata
Caretta caretta
Chelonia mydas
Chelydra serpentina
Cuora amboinensis
Cuora aurocapitata
Cuora couro
Cuora cyclornata
Cuora flavomarginata
Cuora galbinifrons
Cuora lineata
Cuora mccordi
Cuora mouhotii
Cuora pani
Cuora trifasciata
Cuora yunnanensis
Cuora zhoui
Cyclemys dentata
Cyclemys oldhamii
Dermochelys coriacea
Eretmochelys imbricata
Geoemyda spengleri
Indotestudo elongata
Lepidochelys olivacea
Manouria impressa
Mauremys annamensis
Mauremys mutica
Mauremys nigricans
Mauremys reevesii
Mauremys sinensis
Morenia ocellata
Nilssonia formosa
Palea steindachneri
Pelochelys cantorii
Pelodiscus axenaria
Pelodiscus huangshanensis
Pelodiscus huike
Pelodiscus maackii
Pelodiscus parviformis
Pelodiscus shipian
Pelodiscus sinensis
Platysternon megacephalum
Rafetus swinhoei
Sacalia bealei
Sacalia quadriocellata
Testudo horsfieldii
Trachemys scripta
